City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
560,Aden,YE,12.7794,45.0367,81.05,83,54,14.65,broken clouds
561,Columbus,US,39.9612,-82.9988,42.6,95,100,8.05,moderate rain
562,Antofagasta,CL,-23.65,-70.4,69.08,79,14,1.59,few clouds
563,Kismayo,SO,-0.3582,42.5454,83.16,74,83,10.2,broken clouds
564,Dire,ML,12.2833,-10.9667,80.01,36,20,2.44,few clouds
565,Kilembe,UG,0.2,30.0,62.29,69,100,3.98,overcast clouds
566,Khorixas,NA,-20.3667,14.9667,63.61,33,13,1.48,few clouds
567,Rizhao,CN,35.4275,119.4553,52.05,25,56,7.27,broken clouds
568,Kyra,RU,49.5776,111.9753,27.59,48,2,5.06,clear sky
569,Charlestown,AU,-32.95,151.6667,73.72,87,100,5.01,overcast clouds
570,Chapais,CA,49.7834,-74.8492,1.18,100,63,3.51,broken clouds
571,Santa Cruz,BO,-17.8,-63.1667,72.86,94,75,3.44,broken clouds
572,Honavar,IN,14.2833,74.45,86.65,47,92,5.06,overcast clouds
573,Bairiki,KI,1.3292,172.9752,77.0,100,75,6.91,light intensity shower rain
574,Otradnoye,RU,59.7775,30.8181,42.85,76,100,11.27,overcast clouds
575,Neepawa,CA,50.2289,-99.4664,18.0,85,100,13.24,overcast clouds
576,Harper,LR,4.375,-7.7169,78.12,88,100,4.0,overcast clouds
577,Great Yarmouth,GB,52.6083,1.7305,48.45,80,100,22.26,overcast clouds
578,Kupang,ID,-10.1667,123.5833,84.78,79,40,2.3,scattered clouds
579,Askino,RU,56.0901,56.5783,39.18,88,51,14.5,broken clouds
580,Kandi,BJ,11.1342,2.9386,78.49,52,100,5.84,overcast clouds
581,Saint-Louis,SN,16.3333,-15.0,73.04,52,0,8.39,clear sky
582,Canakkale,TR,40.0833,26.8333,34.38,82,13,3.36,few clouds
583,Matara,LK,5.9485,80.5353,86.14,62,23,5.44,few clouds
584,Ulaanbaatar,MN,47.9077,106.8832,26.73,28,0,4.47,clear sky
585,Togul,RU,53.465,85.9128,31.44,89,52,7.38,broken clouds
586,Prince George,CA,53.9166,-122.753,38.64,72,100,2.3,overcast clouds
587,Ampanihy,MG,-24.7,44.75,73.63,77,15,15.52,few clouds
588,Bhatkal,IN,13.9667,74.5667,83.23,57,100,5.41,overcast clouds
589,Zhezkazgan,KZ,47.8043,67.7144,46.38,66,0,8.95,clear sky
590,Moree,AU,-29.4667,149.85,91.53,27,25,8.48,scattered clouds
591,Ca Mau,VN,9.1769,105.15,96.57,28,9,8.61,clear sky
592,Taseyevo,RU,57.2169,94.8978,32.95,79,100,12.26,overcast clouds
593,Vila Do Maio,CV,15.1333,-23.2167,70.59,72,100,8.32,overcast clouds
594,Bajina Basta,RS,43.9708,19.5675,54.27,72,95,2.84,overcast clouds
595,Nouadhibou,MR,20.931,-17.0347,69.78,73,0,10.36,clear sky
596,Brigantine,US,39.4101,-74.3646,45.0,85,100,3.44,overcast clouds
597,Kyabe,TD,9.4515,18.9449,82.27,51,99,2.06,overcast clouds
598,Vaitape,PF,-16.5167,-151.75,82.94,73,38,10.85,scattered clouds
599,Paamiut,GL,61.994,-49.6678,10.63,83,39,7.85,scattered clouds
600,Boone,US,39.0334,-92.3335,44.42,98,100,7.43,overcast clouds
601,El Tambo,CO,1.4181,-77.3968,53.65,91,98,1.1,overcast clouds
602,Wilmington,US,34.2257,-77.9447,68.0,84,15,4.0,few clouds
603,Praia Da Vitoria,PT,38.7333,-27.0667,52.75,93,20,7.81,few clouds
604,Agogo,GH,6.8,-1.0819,71.62,90,92,4.83,overcast clouds
605,Payo,ID,-3.7508,103.6372,74.77,98,100,2.51,overcast clouds
606,Secovce,SK,48.7007,21.661,51.19,91,100,2.08,overcast clouds
607,Caetite,BR,-14.0694,-42.475,65.89,84,14,8.97,few clouds
608,Bilibino,RU,68.0546,166.4372,-3.64,88,25,4.43,scattered clouds
609,Olinda,BR,-8.0089,-34.8553,80.33,78,40,3.44,scattered clouds
610,Amarkantak,IN,22.6667,81.75,83.53,25,5,3.83,clear sky
611,Tsevie,TG,6.4261,1.2133,81.48,76,97,3.91,overcast clouds
612,Visnes,NO,59.3556,5.2242,42.85,93,100,6.91,overcast clouds
613,Basco,PH,20.4487,121.9702,79.43,81,10,16.13,clear sky
614,Macapa,BR,0.0389,-51.0664,76.98,94,75,3.44,broken clouds
615,Amudat,UG,1.95,34.95,70.81,72,29,2.13,scattered clouds
616,Karpathos,GR,35.507,27.2132,58.96,82,3,21.85,clear sky
617,Waitati,NZ,-45.75,170.5667,56.03,81,78,5.64,broken clouds
618,Port Hawkesbury,CA,45.6169,-61.3485,29.91,92,100,21.0,light snow
619,Bandarbeyla,SO,9.4942,50.8122,81.75,74,19,10.67,few clouds
620,Sola,VU,-13.8833,167.55,81.52,71,97,1.95,overcast clouds
621,Calama,CL,-22.4667,-68.9333,50.49,71,0,9.22,clear sky
622,Presque Isle,US,46.6811,-68.0159,26.46,74,100,5.75,overcast clouds
623,Trincomalee,LK,8.5711,81.2335,83.34,72,100,8.41,overcast clouds
624,Masvingo,ZW,-20.0637,30.8277,61.47,86,9,3.74,clear sky
625,Dongsheng,CN,39.8161,109.9776,38.53,18,10,6.04,clear sky
626,Troy,US,42.6056,-83.1499,37.08,83,100,8.05,overcast clouds
627,Mahon,ES,39.8885,4.2658,55.96,88,0,12.66,clear sky
628,Susanino,RU,58.1461,41.5872,35.37,98,98,10.38,overcast clouds
629,Tutoia,BR,-2.7619,-42.2744,75.13,89,100,2.13,overcast clouds
630,Tocopilla,CL,-22.092,-70.1979,71.06,77,16,2.17,few clouds
631,Mayumba,GA,-3.432,10.6554,76.17,87,93,1.72,overcast clouds
632,Palanas,PH,12.1458,123.9216,84.88,71,16,12.95,few clouds
633,Enshi,CN,30.3,109.4833,53.28,80,100,0.98,overcast clouds
634,Ossora,RU,59.2353,163.0719,3.11,92,100,19.15,snow
635,Yarmouth,US,41.7057,-70.2286,41.97,82,0,11.01,clear sky
636,Gimli,CA,50.6336,-96.9907,21.22,73,99,4.61,overcast clouds
637,Valley City,US,46.9233,-98.0032,14.52,100,100,0.0,fog
638,Bahia De Caraquez,EC,-0.6,-80.4167,73.58,89,80,4.94,light rain
639,Ruteng,ID,-8.6136,120.4721,73.2,77,51,1.83,broken clouds
640,Mandalgovi,MN,45.7625,106.2708,31.06,15,4,10.33,clear sky
641,Acapulco,MX,16.8634,-99.8901,78.62,78,40,4.61,scattered clouds
642,Skibbereen,IE,51.55,-9.2667,50.11,87,13,21.7,few clouds
643,Camacha,PT,33.0833,-16.3333,58.42,77,40,4.61,scattered clouds
644,Arcachon,FR,44.5875,-1.0519,55.45,82,100,11.5,overcast clouds
645,Santa Helena De Goias,BR,-17.8136,-50.5969,71.8,82,32,1.88,scattered clouds
646,Porto Novo,BJ,6.4965,2.6036,82.22,77,100,7.02,overcast clouds
647,Yueyang,CN,29.3333,113.0919,55.6,65,98,7.85,overcast clouds
648,Asfi,MA,32.2994,-9.2372,56.46,75,0,15.48,clear sky
649,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.31,86,72,4.45,broken clouds
650,Baiyin,CN,36.5583,104.2081,47.53,34,0,5.93,clear sky
651,Port Lavaca,US,28.615,-96.6261,73.98,94,75,11.5,mist
652,Awbari,LY,26.5921,12.7805,53.06,48,0,5.28,clear sky
653,Kaita,JP,34.3667,132.55,62.4,80,100,5.82,overcast clouds
654,Swan Hill,AU,-35.3378,143.5544,78.96,23,37,9.33,scattered clouds
655,Grimshaw,CA,56.1834,-117.6027,29.82,55,100,6.91,overcast clouds
656,Kenora,CA,49.8167,-94.4337,29.37,59,75,5.75,broken clouds
657,Bolhrad,UA,45.6826,28.6149,49.55,68,84,8.68,broken clouds
658,Urdoma,RU,61.7533,48.5442,29.28,85,99,4.18,overcast clouds
659,Launceston,AU,-41.45,147.1667,71.62,47,40,9.22,scattered clouds
660,Baghdad,IQ,33.3406,44.4009,69.71,52,19,6.91,few clouds
661,Kahului,US,20.8947,-156.47,77.85,79,40,5.75,scattered clouds
662,Quatre Cocos,MU,-20.2078,57.7625,82.51,74,86,6.4,overcast clouds
663,Caiaponia,BR,-16.9567,-51.8103,66.87,87,8,2.68,clear sky
664,Pinega,RU,64.7001,43.3936,24.37,95,99,8.52,light snow
665,La Quinta,US,33.6634,-116.31,63.64,46,0,18.41,clear sky
666,Wuwei,CN,37.9281,102.6414,50.5,26,0,5.97,clear sky
667,Mega,ET,4.05,38.3,65.71,69,92,10.6,overcast clouds
668,Omsukchan,RU,62.5333,155.8,-8.3,87,100,7.92,overcast clouds
669,Tecoanapa,MX,16.5167,-98.75,77.11,74,2,5.88,clear sky
670,Votkinsk,RU,57.0486,53.9872,40.77,97,100,11.36,light rain
671,George,ZA,-33.963,22.4617,56.75,100,0,3.44,clear sky
672,Plouzane,FR,48.3833,-4.6167,50.18,84,100,16.11,overcast clouds
673,Yamada,JP,39.4667,141.95,43.27,70,100,7.34,overcast clouds
674,Bulawayo,ZW,-20.15,28.5833,59.34,89,52,9.53,broken clouds
675,Booue,GA,-0.0921,11.9385,70.88,99,100,1.32,overcast clouds
676,Ambunti,PG,-4.2365,142.8448,88.02,59,73,3.56,broken clouds
